label_original,label
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
DOS_HULK,1.0
